 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 05:46:46
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7398521a9940
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 05:46:46,959: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 05:46:46,962: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 05:46:47,980: INFO/MainProcess] mingle: all alone
[2026-04-26 05:46:47,997: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 05:46:47,998: INFO/MainProcess] Task cpu_intensive[693e4689-f0ec-4122-a4fc-37ff3cb09f94] received
[2026-04-26 05:46:47,999: INFO/MainProcess] Task cpu_intensive[c4cd6b5d-fc98-4d50-ac57-b250c0a109af] received
[2026-04-26 05:46:47,999: INFO/MainProcess] Task memory_intensive[e57bcf8c-34ac-4268-ac9c-4c5789a38094] received
[2026-04-26 05:46:47,999: INFO/MainProcess] Task cpu_intensive[235c988a-256d-4695-b88b-4dc6461c95bc] received
[2026-04-26 05:46:47,999: INFO/MainProcess] Task cpu_intensive[41c1e9fe-54c4-4378-8f53-54c5996f0db2] received
[2026-04-26 05:46:47,999: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:46:48,023: INFO/MainProcess] Task memory_intensive[c79b0606-0428-46e4-bc0e-e4e62e45990e] received
[2026-04-26 05:46:48,023: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:46:48,047: INFO/MainProcess] Task cpu_intensive[5da1e907-e8f8-496b-acb7-3380080d5c3a] received
[2026-04-26 05:46:48,048: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:46:48,072: INFO/MainProcess] Task cpu_intensive[3e586bd5-1fbb-4ea8-a68f-06d20459ca42] received
